location,Latitude,Longitude,Free_Bikes,Empty_Slots,Total_Bikes,name,category,closed_bucket,distance,postcode,latitude,longitude,region,city,state,review_count,rating
"San Francisco Bay Area, CA",37.8419238,-122.2880451,11.0,4.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8467842,-122.2913761,7.0,12.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8384435,-122.2886647,5.0,10.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77523486860597,-122.39743709564208,24.0,10.0,34.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7807601,-122.3949894,11.0,17.0,28.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7719511,-122.4537048,1.0,18.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78227952975499,-122.40731298923492,15.0,0.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3477119817597,-121.89055323600768,17.0,12.0,29.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77793367006746,-122.3969730734825,10.0,7.0,17.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7963894,-122.3945855,5.0,16.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8332935222321,-122.25622415542604,2.0,21.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.82669558640968,-122.27179706096648,4.0,19.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8170154,-122.2717615,11.0,8.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.72939320661727,-122.38653659820557,12.0,6.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.740321776391326,-122.3767840862274,14.0,7.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78292608704408,-122.38792061805724,2.0,22.0,24.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78146761537824,-122.45880603790285,17.0,1.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3426625921454,-121.87729239463806,10.0,13.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.73629587217104,-122.3899698257446,6.0,16.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77948760924334,-122.4631418287754,9.0,12.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.73309280990925,-122.39097297191618,10.0,9.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7737172,-122.4116467,11.0,15.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77787007022392,-122.42295295000076,13.0,12.0,25.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.777609310293336,-122.4546217918396,9.0,12.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.3655356585599,-121.86796635389328,21.0,2.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.32412595115088,-121.89971968531609,17.0,6.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.30901407427592,-121.9000107049942,13.0,10.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.80936861213485,-122.26795077323914,15.0,16.0,31.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.33802231313689,-121.91947817802428,19.0,3.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.338468014146,-121.86652064323424,14.0,1.0,15.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.796248,-122.279352,13.0,14.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.333677122859896,-121.90861791372298,7.0,12.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.788568914161615,-122.43540108203888,0.0,17.0,17.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77122901793374,-122.40088641643524,7.0,20.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.78071988575564,-122.47610360383987,8.0,14.0,22.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.781130551698666,-122.44737446308136,10.0,16.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.778486986397496,-122.45864510536192,4.0,14.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.800496036682574,-122.41088703274724,1.0,29.0,30.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.781840715520495,-122.46763586997984,7.0,20.0,27.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.33867060463943,-121.89564406871794,12.0,11.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8584732,-122.2532529,2.0,16.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.37111641335901,-121.88133180141448,12.0,6.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.79080303242391,-122.43259012699126,11.0,8.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.77666378283064,-122.40790843963624,1.0,17.0,18.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.8361823,-122.2871801,7.0,14.0,21.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.34759257443888,-121.89966201782228,10.0,9.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.35090179274617,-121.89584255218504,19.0,4.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.76578298679633,-122.45763659477234,13.0,6.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.326282324105776,-121.9049111008644,15.0,4.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.343208488473465,-121.88438951969148,14.0,5.0,19.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.7258897887525,-122.45244383811948,12.0,11.0,23.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.76343361023245,-122.46406316757202,6.0,20.0,26.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.76393402521409,-122.47065067291258,12.0,13.0,25.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.75770404149008,-122.39188492298126,27.0,7.0,34.0,,,,,,,,,,,,
"San Francisco Bay Area, CA",37.800459411713945,-122.24745869636536,9.0,14.0,23.0,,,,,,,,,,,,
