Station_No,Station_ID,Bike_Lat,Bike_Long,name,review_count,categories,rating,distance
25,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,Cafe 24,47,Delis,3.5,131.25898854104426
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Tres Deli Si Oso,18,Pop-Up Restaurants,5.0,104.41217411815462
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,Hannah Coffee,1325,"Coffee & Tea, Sandwiches, Breakfast & Brunch",4.5,289.6291764861572
26,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473756,True Brew San Jose - Taphouse & Kitchen,85,"Diners, American, Cocktail Bars",4.0,328.2675171965023
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Shanghai Dumpling King,610,Shanghainese,3.5,8.098199938087504
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Won Kok Restaurant,169,Chinese,3.0,23.53366873141012
27,3cfc266f34c8daf3fa59119deca078ea,37.7316566899845,-122.45112150907516,Railroad Expresso,65,"Coffee & Tea, Cafes",3.5,45.486005288261715
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Classic Guilin Rice Noodles,201,"Chinese, Noodles",3.5,69.51001531878579
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Alice Street Bakery Café,223,"Desserts, Custom Cakes, Cafes",4.5,174.8608010682613
28,b1385ff2e23b82e61c668a9fc8275142,37.80000163118878,-122.26643800735472,Mam Hanoi Restaurant,97,Vietnamese,4.0,188.69225794422658
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Coquitos Restaurant and Bar,0,"Restaurants, Bars",0.0,29.668917679651177
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Mountain Mike's Pizza,150,"Pizza, Chicken Wings",3.5,38.37332093100035
29,0dea2fc1c8cc19369db493d2278fbbbc,37.80696976095594,-122.26658821105956,Parlour,268,"New American, Italian, Pizza",3.5,47.083226742396185
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Alegrias,0,Spanish,0.0,64.06298338746426
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Azteca America,0,American,0.0,144.27769143412036
30,28754859653e0a656ba53e1fa0ea21db,37.80477,-122.403234,Court Cafe,1,Cafes,4.0,149.35141370490732
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Seasons Cafe,0,Cafes,0.0,363.26007881922794
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,Etelinda da Costa Morais,0,Restaurants,0.0,368.89324805269644
31,eb9c95aaf839b9c7e8b18e68288862a3,37.771762110313176,-122.39843755960464,I'a poke,60,"Poke, Sushi Bars",4.0,373.58176086165787
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Bebuze,2,"Burgers, Beer Bar, Wine Bars",5.0,43.29815903544029
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,Omakase,643,"Sushi Bars, Japanese",4.5,45.503044743919034
32,d057730bd39a7e2c920ff32d19393eb6,37.771058,-122.402717,New Burma,120,"Burmese, Vegetarian",4.5,45.79540240735557
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Mehr’s Diner,0,Diners,0.0,119.08496262173303
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,evenings by SPRO,0,"Coffee & Tea, Salad, Sandwiches",0.0,154.82301295179883
33,bafbf8c2ef10271c489e9ab99dc9bd21,37.772300631747626,-122.3930275440216,Wicked Star,109,"Thai, Vietnamese, Food Trucks",3.5,158.94087239990196
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Black Hammer Brewing,1,"Breweries, Venues & Event Spaces, German",1.0,19.242978586450764
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,Willkommen,240,"German, Breweries, Gluten-Free",4.0,19.611588704718557
34,2c505c45b2e849f1523a243b73a34daf,37.7662185,-122.4310597,The Detour,401,"Arcades, Cocktail Bars, Pan Asian",4.0,63.378986423322836
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Rojbas Grill,279,"Mediterranean, Greek, Kebab",4.5,20.427692158131855
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Udupi Palace,790,"Indian, Vegetarian",4.0,25.366184444159
35,840924c8e286486604f62ef9c02ef185,37.8717192,-122.2730677,Café Etoile,150,"French, Breakfast & Brunch, Sandwiches",4.5,56.45081937308949
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,panaderia Sevilla,5,"Cafes, Bakeries",4.5,17.05042396773032
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,Fruitvale Cafe & Grill,2,Restaurants,2.5,40.18620280472172
36,9aabe0cff5a5e7c6b014dd2c163f1ebc,37.778058,-122.2254,China Joe,20,Chinese,2.5,40.18620280472172
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Old Oakland Neighbors,1,New American,5.0,214.0610415214869
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Hugo Food Cart,1,"Street Vendors, Mexican",4.0,277.4190938606552
37,6990760eb8be3fa93313672d7be369e6,37.8072393,-122.2893702,Krispy Krunchy Chicken,16,"Chicken Shop, Pizza",3.5,298.3298991106369
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Powderface,470,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies",3.5,21.536111771656845
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Emil's Burger and Breakfast,103,"Breakfast & Brunch, Burgers",4.0,46.28537553123098
38,55f0ed0965a5a80f451700832338cd49,37.7752321,-122.2244982,Papa Johns Pizza,81,"Pizza, Chicken Wings, Fast Food",2.0,57.77709404161252
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Hugo Food Cart,1,"Street Vendors, Mexican",4.0,324.91539388293586
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Melting Pot Grill,13,"Food Trucks, Mexican, Burgers",4.0,372.49447393243975
39,726e22d3f8e5b2f3b21230c49aa676c8,37.80874983465997,-122.28328227996823,Old Oakland Neighbors,1,New American,5.0,409.35096691593355
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Roasted and Raw,176,"Live/Raw Food, Burgers, Wraps",4.5,86.14539637619887
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,Rio California,503,"Brazilian, New American",4.5,125.78105344534359
40,bd6bf51c4defa1eba0c9bdbc8478b3ce,37.8061628,-122.2760402,C&C Mun-Cheeze Pizza,26,"Pizza, Burgers, Chicken Wings",4.0,133.30078440126834
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Vincent,0,Restaurants,0.0,18.7530783825838
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Cafe Seventy8,189,"Coffee & Tea, Sandwiches, Breakfast & Brunch",4.5,24.900163508038606
41,c0c37f106fa8f27da58b777b7681f9a8,37.7440667,-122.4214722,Playa Azul,232,"Latin American, Mexican",3.5,39.34336098713854
